artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,Type
George Tooker,American,United States,male,"Magic Realism, Neo-Figurative Art",Social Realism,"{Social Realism,Surrealism,Magic Realism:8}",Brooklyn,Hartland,1920.0,2011.0,1947.0,1947.0,8.0,,[],"{Magic Realism:7},{Neo-Figurative Art:1}","{Neo-Figurative Art:1}, {Magic Realism:7}",Magic Realism:1947-1947,"visual artist,painter","US, Andover, MA, NY, New York City","{Andover:1},{MA:1},{US:3},{New York City:2},{NY:2}",,,,,,,No,
Leonor Fini,Argentinean,Argentina,female,"Magic Realism, Neo-Romanticism, Surrealism",Surrealism,{Surrealism:18},Buenos Aires,Aubervilliers,1907.0,1996.0,1935.0,1986.0,18.0,"Trieste,Rome,Paris,Milan",[],"{Magic Realism:6},{Neo-Romanticism:2},{Surrealism:10}","{Surrealism:10}, {Magic Realism:12}, {Neo-Romanticism:2}","Surrealism:1935-1986,Magic Realism:1938-1985,Neo-Romanticism:1938-1941","designer,scenographer,jewelry designer,costume designer,painter,illustrator,artist,author,engraver,writer",,,,,,,,,,
Nicolae Maniu,Romanian,Romania,male,Magic Realism,Magic Realism,"{Magic Realism,Pittura Colta:19}",Turda,,1944.0,,1974.0,2003.0,19.0,,[],{Magic Realism:19},{Magic Realism:19},Magic Realism:1974-2003,visual artist,,,,,,,,,Yes,
Peter Doig,,United Kingdom,male,Magic Realism,Magic Realism,,,,1911.0,1996.0,2001.0,2002.0,42.0,London,[],{Magic Realism:42},,,politician,,,,,,,,,Yes,
Pierre Roy,French,France,male,"Magic Realism, Surrealism",Magic Realism,"{Surrealism,Magic Realism:19}",Nantes,Milan,1880.0,1950.0,1901.0,1949.0,20.0,,[],"{Magic Realism:12},{Surrealism:8}","{Magic Realism:17}, {Surrealism:7}","Magic Realism:1901-1949,Surrealism:1924-1928",painter,,,,,,,,,No,
Stefan Caltia,Romanian,Romania,male,Magic Realism,Magic Realism,{Magic Realism:43},Brașov,,1942.0,,1978.0,2008.0,44.0,,[],{Magic Realism:44},{Magic Realism:43},Magic Realism:1978-2008,"university teacher,painter",,,,,,,,,Yes,
Zhang Xiaogang,,People's Republic of China,male,Magic Realism,Contemporary,,Kunming,,1958.0,,1988.0,2010.0,16.0,,[],{Magic Realism:16},,,"painter,politician",,,,,,,,,Yes,
Hans von Aachen,German,Holy Roman Empire,male,Mannerism (Late Renaissance),Northern Renaissance,"{Mannerism (Late Renaissance),Northern Renaissance:41}",Cologne,Prague,1552.0,1615.0,1567.0,1959.0,44.0,"Prague,Rome",['Prague:1596-1615'],{Mannerism (Late Renaissance):44},{Mannerism (Late Renaissance):41},Mannerism (Late Renaissance):1567-1959,"portraitist,designer,painter,diplomat","London, US, Czech Republic, Prague, Romania, Russia, Saint Petersburg, AL, Sibiu, Austria, UK, Paris, France, Vienna","{Paris:1},{France:1},{Vienna:13},{Austria:13},{Saint Petersburg:1},{Russia:1},{London:1},{UK:1},{AL:1},{US:1},{Sibiu:1},{Romania:1},{Prague:2},{Czech Republic:1}",,,,,,,No,
Tobias Verhaecht,Flemish,Southern Netherlands,male,"Mannerism (Late Renaissance), Northern Renaissance",Northern Renaissance,"{Northern Renaissance,Mannerism (Late Renaissance):14}",Antwerp,Antwerp,1561.0,1631.0,1598.0,1615.0,26.0,"Italy,Antwerp",['Antwerp:1590-1631'],"{Mannerism (Late Renaissance):17},{Northern Renaissance:9}","{Northern Renaissance:12}, {Mannerism (Late Renaissance):5}","Northern Renaissance:1600-1615,Mannerism (Late Renaissance):1598-1598",painter,"Belgium, Manchester, Valenciennes, Russia, Saint Petersburg, Museo del Prado, UK, Paris, France, Madrid, Spain","{Manchester:1},{UK:1},{Paris:1},{France:2},{Valenciennes:1},{Belgium:1},{Museo del Prado:1},{Madrid:1},{Spain:1},{Saint Petersburg:1},{Russia:1}",Antwerp School,"Joachim Patinir,Pieter Bruegel the Elder,",,"Peter Paul Rubens,",,,No,
Yu Youhan,Chinese,People's Republic of China,male,"Maximalism, Pop Art",Pop Art,"{Pop Art,Maximalism:30}",Shanghai,,1943.0,,1988.0,2008.0,30.0,,[],"{Maximalism:5},{Pop Art:25}","{Maximalism:7}, {Pop Art:25}, {Op Art:1}, {Neoplasticism:1}","Maximalism:1991-2003,Pop Art:1988-2008,Op Art:2006-2006,Neoplasticism:1999-1999",painter,,,Political Pop,,,,,,Yes,
