artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years,birth_date,death_date
Leon Ferrari,Conceptual Art,Conceptual Art,{Conceptual Art:21},21,Buenos Aires,1920.0,2013.0,Buenos Aires,male,Argentina,"conceptual artist,drawer,sculptor,painter,artist,actor",,[],1920.0,2013.0
Leon Tarasewicz,"Conceptual Art, Minimalism, Post-Minimalism",Contemporary,"{Conceptual Art:3},{Minimalism:3},{Post-Minimalism:3}",9,Waliły,1957.0,,,male,Poland,"drawer,university teacher,painter",Warsaw,[],1957.0,
Liam Gillick,Conceptual Art,Relational Art,{Conceptual Art:10},10,Aylesbury,1964.0,,,male,United Kingdom,"conceptual artist,installation artist,sculptor,painter,artist","New York City,London","['New York City:1984-2009', 'London:1984-2009']",1964.0,
Lorenzo Belenguer,"Conceptual Art, Neo-Minimalism",Conceptual Art,"{Conceptual Art:2},{Neo-Minimalism:2}",4,Valencia,1970.0,,,male,Spain,"artist,sculptor",,[],1970.0,
Lorna Simpson,"Conceptual Art, Feminist Art, Postcolonial art",Feminist Art,"{Conceptual Art:6},{Feminist Art:1},{Postcolonial art:7}",14,Brooklyn,1960.0,,,female,United States,"video artist,installation artist,drawer,printmaker,visual artist,filmmaker,photographer","San Diego,Manhattan,Brooklyn",['Brooklyn:1982-2012'],1960.0,
Lothar Baumgarten,"Conceptual Art, Unknown",Conceptual Art,"{Conceptual Art:10},{Unknown:1}",11,Rheinsberg,1944.0,1985.0,Berlin,male,Germany,"serigrapher,conceptual artist,installation artist,ethnographer,lighting designer,sculptor,painter,artist,photographer",Berlin,[],1944.0,2018.0
Louise Bourgeois,"Conceptual Art, Confessional Art, Feminist Art, Minimalism, Surrealism, Unknown",Confessional Art,"{Conceptual Art:40},{Confessional Art:112},{Feminist Art:7},{Minimalism:24},{Surrealism:20},{Unknown:1}",204,6th arrondissement of Paris,1911.0,2010.0,Beth Israel Medical Center,female,France,"installation artist,drawer,printmaker,performance artist,jewelry designer,sculptor,painter,illustrator,photographer","New York City,Paris","['New York City:1938-2010', 'Paris:1929-1939']",1911.0,2010.0
Lourdes Castro,"Conceptual Art, Pop Art",Pop Art,"{Conceptual Art:5},{Pop Art:25}",30,Funchal,1930.0,2022.0,Funchal,female,Portugal,"visual artist,sculptor,painter","Berlin,Paris,Munich",[],1930.0,2022.0
Lubo Kristek,"Conceptual Art, Kinetic Art, Neo-Dada, Performance Art, Surrealism, Symbolism, Unknown",Surrealism,"{Conceptual Art:3},{Kinetic Art:1},{Neo-Dada:5},{Performance Art:2},{Surrealism:18},{Symbolism:1},{Unknown:4}",34,Brno,1943.0,,,male,Czech Republic,"performance artist,ceramicist,sculptor,painter",Landsberg am Lech,[],1943.0,
Luis Camnitzer,Conceptual Art,Conceptual Art,{Conceptual Art:20},20,Lübeck,1937.0,,,male,Uruguay,"conceptual artist,art theorist,printmaker,art critic,university teacher,painter,writer",,[],1937.0,
