artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Cindy Sherman,"Feminist Art, Unknown",Feminist Art,"{Feminist Art:130},{Unknown:1}",131,Glen Ridge,1954.0,,,female,United States,"women's rights activist,director,film director,artist,photographer","Paris,United States",['Paris:2015-2015']
Faith Ringgold,"Feminist Art, Neo-Pop Art, P&D (Pattern and Decoration), Postcolonial art",Harlem Renaissance (New Negro Movement),"{Feminist Art:4},{Neo-Pop Art:1},{P&D (Pattern and Decoration):1},{Postcolonial art:14}",20,Harlem,1930.0,2024.0,Englewood,female,United States,"quiltmaker,performance artist,textile artist,visual artist,sculptor,painter,illustrator,writer","Nigeria,San Diego,New York City,Ghana",[]
Harmonia Rosales,"Feminist Art, Postcolonial art",Feminist Art,"{Feminist Art:13},{Postcolonial art:13}",26,Chicago,1984.0,,,female,,artist,,[]
Kara Walker,Feminist Art,Feminist Art,{Feminist Art:12},12,Stockton,1969.0,,,female,United States,"video artist,installation artist,architectural draftsperson,printmaker,performance artist,visual artist,graphic artist,filmmaker,sculptor,painter,illustrator,artist,photographer","New York City,Providence",['New York City:2007-2007']
Katrien De Blauwer,Feminist Art,Feminist Art,{Feminist Art:26},26,,,,,,,,,
Kiki Smith,"Feminist Art, Unknown",Feminist Art,"{Feminist Art:42},{Unknown:4}",46,Nuremberg,1954.0,,,female,Germany,"architectural draftsperson,printmaker,performance artist,visual artist,film director,graphic artist,sculptor,cartoonist,painter,illustrator,artist,photographer",New York City,[]
Linder,Feminist Art,Feminist Art,{Feminist Art:14},14,Klagenfurt am Wörthersee,1736.0,1802.0,,male,United Kingdom,"painter,drawer,printmaker,engraver",,[]
May Wilson,"Feminist Art, Mail Art, Neo-Dada, Pop Art",Feminist Art,"{Feminist Art:10},{Mail Art:5},{Neo-Dada:3},{Pop Art:6}",24,Baltimore,1905.0,1986.0,,female,United States,artist,,[]
Nalini Malani,"Feminist Art, Neo-Expressionism, Op Art, Postcolonial art",Feminist Art,"{Feminist Art:2},{Neo-Expressionism:2},{Op Art:1},{Postcolonial art:10}",15,Karachi,1946.0,,,female,Dominion of India,"video artist,printmaker,painter,artist",Bombay State,[]
Pushpamala N,"Feminist Art, Postcolonial art",Feminist Art,"{Feminist Art:2},{Postcolonial art:19}",21,Bengaluru,1956.0,,,female,India,"video artist,painter,photographer",,[]
Senga Nengudi,"Feminist Art, Performance Art, Post-Minimalism, Postcolonial art",Performance Art,"{Feminist Art:6},{Performance Art:1},{Post-Minimalism:4},{Postcolonial art:1}",12,Chicago,1943.0,,,female,United States,"performance artist,sculptor,curator",,[]
Shirin Neshat,Feminist Art,Feminist Art,{Feminist Art:16},16,Qazvin,1957.0,,,female,Iran,"video installation artist,opera director,video artist,documentarian,visual artist,film director,filmmaker,painter,photographer,screenwriter","Los Angeles,New York City,Morocco,Berkeley",[]
