artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,pictures_count
Claudio Coello,Spanish,Spain,male,Baroque,Baroque,{Baroque:15},Madrid,Madrid,1642.0,1693.0,1664.0,1690.0,18.0,[],[],{Baroque:18},{Baroque:14},Baroque:1664-1690,painter,"London, Museo del Prado, UK, Spain, Madrid","{Museo del Prado:4},{Madrid:4},{Spain:4},{London:1},{UK:1}",,"Titian,Peter Paul Rubens,Anthony van Dyck,",,,,,No,
Cornelis Norbertus Gysbrechts,Flemish,Spanish Netherlands,male,Baroque,Baroque,{Baroque:10},Antwerp,http://www.wikidata.org/.well-known/genid/37e0ad99b0c87ef167cff182b2a5aa2d,1630.0,1675.0,1663.0,1675.0,10.0,"['Hamburg', 'Regensburg', 'Antwerp', 'Copenhagen']","['Hamburg:1665-1668', 'Regensburg:1664-1664', 'Antwerp:1648-1660', 'Copenhagen:1668-1672']",{Baroque:10},{Baroque:10},Baroque:1663-1675,painter,"Belgium, Denmark","{Belgium:2},{Denmark:2}",,,,,,,No,
Cornelis de Vos,,Spanish Netherlands,male,Baroque,Baroque,,Hulst,Antwerp,1584.0,1651.0,1630.0,1630.0,59.0,['Antwerp'],[],{Baroque:59},,,"painter, drawer",,,,,,,,,No,
Cornelis van Noorde,,Dutch Republic,male,Baroque,Baroque,,Haarlem,Haarlem,1731.0,1795.0,,,21.0,['Haarlem'],[],{Baroque:21},,,"painter, printmaker",Northern Netherlands,{Northern Netherlands:2},,,,,,,,
David Bailly,,Dutch Republic,male,Baroque,Dutch Golden Age,,Leiden,Leiden,1584.0,1657.0,1629.0,1629.0,17.0,"['Leiden', 'Amsterdam']",[],{Baroque:17},,,"illustrator, painter, visual artist, printmaker, copperplate engraver, drawer, portraitist",Netherlands,{Netherlands:1},,,,,,,No,
David Teniers the Younger,,Habsburg Netherlands,male,"Baroque, Unknown",Baroque,,Antwerp,City of Brussels,1610.0,1690.0,1634.0,1690.0,73.0,"['Brussels-Capital Region', 'London', 'Antwerp', 'City of Brussels']","['Antwerp:1626-1650', 'City of Brussels:1650-1690']","{Baroque:69},{Unknown:4}",{Flemish:1},,"miniaturist, architectural draftsperson, printmaker, graphic artist, painter","Brussels, Antwerp","{Brussels:9},{Antwerp:3}",,,,,,,No,
Diego Velazquez,Spanish,Spain,male,"Baroque, Unknown",Baroque,{Baroque:134},Seville,Madrid,1599.0,1660.0,1616.0,1660.0,134.0,"['Madrid', 'Seville', 'Rome', 'Italy', 'Naples', 'Venice']","['Madrid:1622-1660', 'Seville:1611-1622', 'Rome:1629-1630,1636-1637', 'Italy:1649-1651', 'Naples:1630-1631', 'Venice:1629-1629']","{Baroque:93},{Unknown:41}",{Baroque:133},Baroque:1616-1660,"painter, artist, conquistador, military personnel, actor, television actor, researcher","London, Seville, Museo del Prado, UK, Dallas, Spain, Rome, Sao Paulo, US, Germany, Chicago, Washington DC, IL, Budapest, Brazil, Italy, MA, Austria, Paris, Denmark, Hungary, Florence, Vienna, Barcelona, Boston, Berlin, Ireland, Dublin, Russia, Saint Petersburg, Orleans, Munich, France, Madrid, NY, Valencia, Fort Worth, Rouen, New York City","{Vienna:8},{Austria:8},{Saint Petersburg:3},{Russia:3},{Museo del Prado:53},{Madrid:57},{Spain:62},{Dallas:3},{US:12},{Paris:2},{France:4},{Rome:2},{Italy:5},{New York City:5},{NY:5},{London:11},{UK:12},{Florence:3},{Washington DC:1},{Valencia:1},{Berlin:2},{Germany:3},{Fort Worth:1},{Munich:1},{Boston:1},{MA:1},{Rouen:1},{Denmark:1},{Brazil:2},{Sao Paulo:1},{Seville:4},{Budapest:1},{Hungary:1},{Barcelona:1},{Orleans:1},{Chicago:1},{IL:1},{Dublin:1},{Ireland:1}",Seville School,"Caravaggio,Titian,","Gustave Courbet,Francis Bacon,Ilya Repin,Edouard Manet,Joshua Reynolds,Gerard Terborch,Oleksandr Murashko,Francisco Goya,Carolus-Duran,John Singer Sargent,Piotr Michałowski,Frank W. Benson,",,"Francisco Pacheco,","Peter Paul Rubens,",No,
Dirck van Baburen,,Dutch Republic,male,"Baroque, Tenebrism",Baroque,,Utrecht,Utrecht,1595.0,1624.0,,,31.0,"['Italy', 'Utrecht', 'Parma', 'Rome']","['Italy:1612-1612', 'Utrecht:1621-1624,1611-1611', 'Parma:1615-1615', 'Rome:1617-1620']","{Baroque:15},{Tenebrism:16}",,,painter,,,,,,,,,,
Domenico Fiasella,Italian,,male,Baroque,Baroque,{Baroque:23},Sarzana,Genoa,1589.0,1669.0,1620.0,1650.0,30.0,['Genoa'],[],{Baroque:30},{Baroque:22},Baroque:1625-1650,painter,"Ligustica, Italy, Genoa, Venice, Spain, Valencia, Belle Arti, Paris, France","{Genoa:7},{Italy:8},{Ligustica:1},{Belle Arti:1},{Valencia:1},{Spain:1},{Paris:1},{France:1},{Venice:1}",,,,,,,No,
Esaias van de Velde,,Netherlands,male,Baroque,Baroque,"{Dutch Golden Age:1},{Baroque:1}",Amsterdam,The Hague,1587.0,1630.0,,,55.0,"['Amsterdam', 'The Hague', 'Haarlem']","['Amsterdam:1587-1609', 'The Hague:1618-1630', 'Haarlem:1609-1617']",{Baroque:55},,,"painter, graphic artist, printmaker, landscape painter","Northern Netherlands, Amsterdam","{Northern Netherlands:1},{Amsterdam:3}",,,,,,,,
Eustache Le Sueur,French,Kingdom of France,male,Baroque,Baroque,{Baroque:34},Paris,Paris,1616.0,1655.0,1635.0,1660.0,33.0,['Paris'],[],{Baroque:33},{Baroque:34},Baroque:1635-1660,"illustrator, painter, drawer","US, Russia, Saint Petersburg, Paris, France, Hartford","{Paris:15},{France:15},{Saint Petersburg:1},{Russia:1},{Hartford:1},{US:1}",,,,,,,No,
Ferdinand Bol,Dutch,Dutch Republic,male,Baroque,Baroque,"{Dutch Golden Age:1},{Baroque:80}",Dordrecht,Amsterdam,1616.0,1680.0,1630.0,1680.0,99.0,"['Dordrecht', 'Amsterdam']","['Dordrecht:1635-1635', 'Amsterdam:1636-1680']",{Baroque:99},{Baroque:79},Baroque:1630-1680,"painter, graphic artist, etcher","CA, Moscow, Cincinnati, Indianapolis, Amsterdam, US, Netherlands, Germany, Warsaw, Leipzig, Los Angeles, Hague, AL, Russia, Saint Petersburg, Los Angeles County Museum of Art, Munich, NY, IN, Poland, OH, New York City","{Amsterdam:44},{Netherlands:35},{Munich:2},{Germany:3},{OH:2},{US:7},{Los Angeles County Museum of Art:2},{Los Angeles:2},{CA:2},{Hague:3},{Saint Petersburg:4},{Russia:5},{Warsaw:3},{Poland:3},{Indianapolis:1},{IN:1},{AL:1},{Moscow:1},{Leipzig:1},{Cincinnati:1},{New York City:1},{NY:1}",,"Rembrandt,",,,"Rembrandt,",,No,
Francesco Guardi,Italian,Republic of Venice,male,"Baroque, Unknown",Baroque,"{Rococo:4},{Venetian school:4},{Baroque:67}",Venice,Venice,1712.0,1793.0,1737.0,1790.0,67.0,['Venice'],[],"{Baroque:66},{Unknown:1}","{XVIII CenturyItalian Painting:1}, {Baroque:67}",Baroque:1745-1789,"painter, graphic artist","London, UK, Bergamo, Spain, Canada, Switzerland, Lisbon, US, Germany, Ottawa, Portugal, Cambridge, Budapest, Milan, Brussels, Italy, MA, Venezia, Austria, Paris, Hungary, Florence, Vienna, Zürich, Belgium, Russia, Belgrade, Venice, Saint Petersburg, Munich, France, Madrid, Serbia, Veneto, Oxford","{Venice:3},{Italy:8},{Venezia:1},{Veneto:1},{Lisbon:1},{Portugal:1},{Budapest:1},{Hungary:1},{Munich:2},{Germany:2},{Oxford:2},{UK:5},{Ottawa:1},{Canada:1},{Madrid:2},{Spain:2},{Cambridge:2},{MA:1},{US:1},{Saint Petersburg:3},{Russia:3},{Belgium:2},{Brussels:1},{London:2},{Vienna:1},{Austria:1},{Paris:8},{France:8},{Milan:3},{Belgrade:1},{Serbia:1},{Zürich:1},{Switzerland:1},{Bergamo:1},{Florence:1}",Venetian School,,,,,,No,
Francesco Solimena,Italian,Italy,male,Baroque,Baroque,{Baroque:31},Serino,Naples,1657.0,1747.0,1690.0,1744.0,31.0,[],[],{Baroque:31},"{Italian Baroque:1}, {Baroque:31}",Baroque:1690-1744,"painter, architect","London, Museo del Prado, UK, Spain, Netherlands, Budapest, Milan, Italy, Naples, Austria, Paris, Hungary, Vienna, Cherbourg, Russia, Saint Petersburg, France, Madrid, Amsterdam","{Italy:3},{Cherbourg:1},{France:2},{Milan:1},{Museo del Prado:2},{Madrid:2},{Spain:2},{Amsterdam:1},{Netherlands:1},{Naples:1},{Saint Petersburg:2},{Russia:2},{Vienna:2},{Austria:3},{Paris:1},{London:1},{UK:1},{Budapest:1},{Hungary:1}",Neapolitan school,,,,,,No,
Francisco Herrera,Spanish,Spain,male,Baroque,Baroque,{Baroque:14},Seville,Madrid,1576.0,1656.0,1625.0,1648.0,20.0,"['Madrid', 'Italy', 'Seville']","['Italy:1640-1653', 'Seville:1653-1660', 'Madrid:1661-1685']",{Baroque:20},{Baroque:14},Baroque:1625-1648,"painter, printmaker, architect, miniature painter","Spain, Madrid, Museo del Prado, France","{Museo del Prado:1},{Madrid:2},{Spain:2},{France:1}",Seville School,,,"Diego Velazquez,",,,No,
Francisco Pacheco,Spanish,Kingdom of Granada,male,"Baroque, Mannerism (Late Renaissance)",Baroque,"{Mannerism (Late Renaissance),Baroque:26}",Sanlúcar de Barrameda,Seville,1564.0,1644.0,1599.0,1682.0,26.0,"['Madrid', 'Seville']","['Madrid:1623-1625', 'Seville:1575-1631']","{Baroque:4},{Mannerism (Late Renaissance):22}","{Baroque:7}, {Mannerism (Late Renaissance):22}","Baroque:1600-1682,Mannerism (Late Renaissance):1599-1619","writer, painter, art historian","Museo del Prado, Spain, Madrid, France, Castres","{Madrid:2},{Spain:2},{Castres:1},{France:1},{Museo del Prado:1}",Seville School,"El Greco,Raphael,",,"Diego Velazquez,Alonzo Cano,Francisco de Zurbaran,",,,No,
Frans Hals,Dutch,Dutch Republic,male,"Baroque, Unknown",Baroque,{Baroque:170},Antwerp,Haarlem,1582.0,1666.0,1611.0,1666.0,171.0,"['Antwerp', 'Haarlem']","['Antwerp:1616-1616', 'Haarlem:1608-1616,1617-1666']","{Baroque:139},{Unknown:32}","{Netherlandish:2}, {Northern Netherlands School:1}, {Baroque:170}",Baroque:1611-1666,"painter, printmaker, architectural draftsperson","London, Prague, CA, Rotterdam, Odesa, UK, Spain, Canada, MO, Toronto, The Netherlands, Sao Paulo, San Diego, US, Leiden, Netherlands, Germany, Amiens, St. Louis, Eastern Art, Chicago, Ottawa, IL, Cambridge, Budapest, Haarlem, Tokyo, Pittsburgh, Edinburgh, Brazil, Leipzig, Hague, Dresden, MA, Austria, Ukraine, Paris, Denmark, Stockholm, Bordeaux, Hungary, Vienna, Nationalmuseum, Cologne, Boston, Berlin, Czech Republic, Belgium, Sweden, Dublin, Russia, Ireland, Saint Petersburg, Frankfurt, New Haven, Munich, France, Madrid, NY, Northern Netherlands, Bucharest, Japan, Kassel, Amsterdam, Fort Worth, Schwerin, PA, Main, Birmingham, New York City","{Leiden:1},{Northern Netherlands:3},{Netherlands:24},{The Netherlands:1},{Denmark:1},{Boston:1},{MA:1},{US:18},{New Haven:3},{Munich:2},{Germany:16},{Paris:7},{France:9},{Haarlem:11},{Cambridge:1},{UK:9},{Toronto:2},{Canada:3},{Madrid:4},{Spain:4},{Amsterdam:6},{Hague:5},{Amiens:1},{Berlin:8},{Vienna:2},{Austria:2},{Saint Petersburg:2},{Russia:2},{St. Louis:1},{MO:1},{Budapest:2},{Hungary:3},{Bucharest:1},{London:6},{Prague:2},{Czech Republic:1},{Edinburgh:1},{Ottawa:1},{New York City:9},{NY:9},{Belgium:3},{Cologne:2},{Nationalmuseum:2},{Stockholm:2},{Sweden:2},{Sao Paulo:2},{Brazil:2},{Frankfurt:1},{Main:1},{San Diego:1},{CA:1},{Tokyo:2},{Japan:1},{Bordeaux:1},{Dublin:1},{Ireland:1},{Schwerin:1},{Rotterdam:1},{Leipzig:1},{Eastern Art:2},{Odesa:2},{Ukraine:2},{Kassel:1},{Dresden:1},{Chicago:1},{IL:1},{Fort Worth:1},{Pittsburgh:1},{PA:1},{Birmingham:1}","Dutch School,Haarlem School","Peter Paul Rubens,Anthony van Dyck,","Judith Leyster,Adriaen van Ostade,Ilya Repin,","Adriaen van Ostade,Pieter Codde,Jan Miense Molenaer,",,,No,
Frans Snyders,Flemish,Spanish Netherlands,male,Baroque,Baroque,{Baroque:58},Antwerp,Antwerp,1579.0,1657.0,1600.0,1657.0,62.0,"['Milan', 'Breda', 'Rome', 'Antwerp']","['Milan:1608-1609', 'Breda:1646-1646', 'Rome:1608-1608', 'Antwerp:1609-1657,1593-1607']",{Baroque:62},{Baroque:58},Baroque:1600-1657,"painter, architectural draftsperson","London, Prague, Moscow, Museo del Prado, UK, Norway, Karlsruhe, Spain, US, Germany, Chicago, IL, Brussels, Italy, MA, Austria, Paris, Detroit, Stockholm, MI, Florence, Vienna, Nationalmuseum, Cologne, Belgium, Boston, Sweden, Dublin, Ireland, Czech Republic, Russia, Saint Petersburg, Antwerp, Oslo, Munich, France, Madrid","{Belgium:7},{Antwerp:1},{Oslo:1},{Norway:1},{Boston:1},{MA:1},{US:3},{Museo del Prado:5},{Madrid:5},{Spain:5},{Brussels:2},{Nationalmuseum:1},{Stockholm:1},{Sweden:1},{Vienna:6},{Austria:6},{Paris:2},{France:2},{Moscow:2},{Russia:9},{Saint Petersburg:7},{Florence:1},{Italy:1},{Detroit:1},{MI:1},{Cologne:2},{Germany:4},{Munich:1},{London:1},{UK:1},{Dublin:1},{Ireland:1},{Chicago:1},{IL:1},{Prague:2},{Czech Republic:1},{Karlsruhe:1}",Flemish School,,,,"Peter Paul Rubens,",,No,
Frans van Mieris the Elder,,Netherlands,male,Baroque,Baroque,,Leiden,Leiden,1635.0,1681.0,1658.0,1658.0,23.0,['Leiden'],[],{Baroque:23},{Dutch:1},,painter,Netherlands,{Netherlands:1},,,,,,,No,
Gabriel Metsu,Dutch,Dutch Republic,male,"Baroque, Tenebrism, Unknown",Baroque,{Baroque:48},Leiden,Amsterdam,1629.0,1667.0,1640.0,1667.0,54.0,"['Leiden', 'Amsterdam']","['Leiden:1644-1655', 'Amsterdam:1657-1667']","{Baroque:50},{Tenebrism:1},{Unknown:3}",{Baroque:48},Baroque:1640-1667,painter,"London, Rotterdam, Museo del Prado, UK, Spain, Netherlands, Germany, Warsaw, Leiden, Italy, Hague, Paris, Florence, Berlin, Ireland, Dublin, Russia, Saint Petersburg, Frankfurt, France, Madrid, Poland, Amsterdam, Main","{Warsaw:1},{Poland:1},{Rotterdam:1},{Netherlands:9},{Saint Petersburg:3},{Russia:3},{Madrid:2},{Spain:2},{Dublin:2},{Ireland:2},{Florence:2},{Italy:2},{Amsterdam:6},{Frankfurt:1},{Main:1},{Germany:2},{Hague:1},{Berlin:1},{Museo del Prado:1},{London:2},{UK:2},{Paris:3},{France:3},{Leiden:1}","Dutch School,Leiden School","Gerrit Dou,Johannes Vermeer,","Jacob Ochtervelt,","Michiel van Musscher,","Gerrit Dou,Nikolaus Knüpfer,","Jan Steen,",No,
Georges Lallemand,French,France,male,Baroque,Baroque,{Baroque:8},Nancy,Paris,1575.0,1636.0,1600.0,1636.0,8.0,[],[],{Baroque:8},{Baroque:8},Baroque:1600-1636,painter,"Saint Petersburg, Russia","{Saint Petersburg:1},{Russia:1}",,,,"Nicolas Poussin,",,,No,
Gerard Terborch,Dutch,Dutch Republic,male,"Baroque, Unknown",Baroque,{Baroque:47},Zwolle,Zwolle,1583.0,1662.0,1648.0,1675.0,60.0,[],[],"{Baroque:59},{Unknown:1}",{Baroque:47},Baroque:1648-1675,painter,"London, Moscow, Rotterdam, UK, Spain, US, Netherlands, Germany, Hague, Dresden, Austria, Paris, Detroit, MI, Vienna, Cologne, Berlin, Russia, Saint Petersburg, Frankfurt, Munich, France, Madrid, Lyon, Amsterdam, Schwerin, Main","{Rotterdam:1},{Netherlands:6},{Dresden:1},{Germany:7},{Paris:3},{France:4},{Saint Petersburg:5},{Russia:6},{Schwerin:1},{Moscow:1},{Berlin:1},{Madrid:1},{Spain:1},{Cologne:1},{London:4},{UK:4},{Amsterdam:3},{Lyon:1},{Detroit:1},{MI:1},{US:1},{Frankfurt:2},{Main:2},{Hague:2},{Munich:1},{Vienna:1},{Austria:1}","Dutch School,Haarlem School","Diego Velazquez,","Johannes Vermeer,Jacob Ochtervelt,",,"Willem Cornelisz Duyster,Pieter Codde,",,No,
Gerard van Honthorst,,Dutch Republic,male,"Baroque, Tenebrism, Unknown",Baroque,,Utrecht,Utrecht,1592.0,1656.0,1618.0,1649.0,186.0,"['London', 'Utrecht', 'Florence', 'The Hague', 'Rome']",['Rome:1610-1615'],"{Baroque:139},{Tenebrism:46},{Unknown:1}",{Baroque / Caravaggesque style / 'pittura di genere':1},,"painter, printmaker, architectural draftsperson",Netherlands,{Netherlands:1},,,,,,,No,
Gerrit Dou,Dutch,Netherlands,male,Baroque,Baroque,{Baroque:79},Leiden,Leiden,1613.0,1675.0,1630.0,1675.0,108.0,['Leiden'],[],{Baroque:108},{Baroque:79},Baroque:1630-1675,"painter, visual artist","London, CA, Rotterdam, UK, US, Netherlands, Germany, Budapest, Los Angeles, Hague, Austria, Paris, Hungary, Vienna, Cologne, Russia, Saint Petersburg, Munich, France, NY, Fort Worth, Bucharest, Amsterdam, New York City","{Netherlands:9},{Munich:1},{Germany:2},{Budapest:4},{Hungary:5},{Amsterdam:5},{New York City:1},{NY:1},{US:3},{London:6},{UK:6},{Vienna:2},{Austria:2},{Saint Petersburg:2},{Russia:2},{Fort Worth:1},{Cologne:1},{Hague:1},{Paris:7},{France:7},{Rotterdam:1},{Los Angeles:1},{CA:1},{Bucharest:1}",Dutch School,,"Johannes Vermeer,Pieter de Hooch,Gabriel Metsu,","Gabriel Metsu,Frans van Mieris the Elder,","Rembrandt,",,No,
Giambattista Pittoni,,Republic of Venice,male,"Baroque, Rococo",Baroque,{Renaissance:1},Venice,Venice,1687.0,1767.0,,,21.0,"['Venice', 'Republic of Venice']",[],"{Baroque:2},{Rococo:19}",,,"professor, painter, art advisor, drawer",,,,,,,,,,
Gian Lorenzo Bernini,Italian,Italy,male,"Baroque, Unknown",Baroque,{Baroque:57},Naples,Rome,1598.0,1680.0,1615.0,1678.0,56.0,"['Italy', 'Paris', 'Rome', 'Siena']",[],"{Baroque:54},{Unknown:2}",{Baroque:56},Baroque:1615-1678,"architect, artist, painter, sculptor, designer, architectural draftsperson","London, UK, Santa Bibiana, San Pietro, Canada, Toronto, Vincoli, Rome, US, Lucina, Vatican, Cambridge, Monserrato, Italy, MA, San Lorenzo, Paris, Denmark, Spagnoli, Florence, Santa Maria, Russia, Saint Petersburg, Vittoria, France, Siena, Oxford","{Italy:27},{Rome:22},{Vatican:4},{Saint Petersburg:6},{Russia:6},{Cambridge:1},{MA:1},{US:1},{San Pietro:1},{Vincoli:1},{San Lorenzo:1},{Lucina:1},{Siena:1},{Santa Maria:1},{Vittoria:1},{Paris:1},{France:1},{Florence:3},{Oxford:1},{UK:2},{London:1},{Santa Bibiana:1},{Monserrato:1},{Spagnoli:1},{Toronto:1},{Canada:1},{Denmark:1}",,"Salvator Rosa,",,,,"Salvator Rosa,",No,
Giovanni Battista Gaulli,,Italy,male,"Baroque, Rococo, Tenebrism, Unknown",Baroque,,Genoa,Rome,1639.0,1709.0,1700.0,1705.0,71.0,"['Genoa', 'Rome', 'Parma']","['Genoa:1693-1693', 'Rome:1662-1662', 'Parma:1668-1683']","{Baroque:33},{Rococo:29},{Tenebrism:8},{Unknown:1}",,,"fresco painter, sculptor, painter",,,,,,,,,No,
Giovanni Paolo Panini,Italian,Italy,male,"Baroque, Rococo, Unknown",Baroque,{Baroque:21},Piacenza,Rome,1691.0,1765.0,1691.0,1800.0,24.0,"['Rome', 'Piacenza']","['Rome:1717-1765', 'Piacenza:1715-1715']","{Baroque:20},{Rococo:1},{Unknown:3}",{Baroque:21},Baroque:1718-1759,"architect, painter, scenographer","US, Italy, MN, Russia, Baltimore, Saint Petersburg, New Haven, Paris, France, MD, IN, Minneapolis, Indianapolis, Rome, Hartford","{Rome:1},{Italy:1},{Paris:3},{France:3},{Saint Petersburg:1},{Russia:1},{Minneapolis:1},{MN:1},{US:5},{New Haven:1},{Hartford:1},{Indianapolis:1},{IN:1},{Baltimore:1},{MD:1}",,,"Claude-Joseph Vernet,",,,,No,
Giulia Lama,Italian,Republic of Venice,female,"Baroque, Tenebrism",Baroque,{Baroque:12},Venice,Venice,1681.0,1747.0,1725.0,1735.0,12.0,['Venice'],[],"{Baroque:4},{Tenebrism:8}","{Tenebrism:8}, {Baroque:4}","Tenebrism:1725-1730,Baroque:1735-1735","poet, painter","Italy, Florence","{Florence:1},{Italy:1}",,,,,,,No,
Giulio Cesare Procaccini,,Papal States,male,"Baroque, Tenebrism, Unknown",Baroque,,Bologna,Milan,1574.0,1625.0,1612.0,1612.0,76.0,['Milan'],['Milan:1590-1616'],"{Baroque:69},{Tenebrism:5},{Unknown:2}",,,"painter, sculptor, printmaker, drawer",,,,,,,,,No,
Giuseppe Maria Crespi,Spanish,Papal States,male,Baroque,Baroque,{Baroque:48},Bologna,Bologna,1665.0,1747.0,1700.0,1745.0,52.0,['Bologna'],[],{Baroque:52},{Baroque:48},Baroque:1700-1745,painter,"Italy, Paris, Madrid, France, Spain, Florence","{Florence:2},{Italy:2},{Paris:1},{France:1},{Madrid:2},{Spain:2}",Bolognese School,,,,,,No,
Guercino,Italian,Papal States,male,"Baroque, Unknown",Baroque,{Baroque:60},Cento,Bologna,1591.0,1666.0,1616.0,1666.0,78.0,['Geographical region of Italy'],[],"{Baroque:76},{Unknown:2}",{Baroque:60},Baroque:1616-1666,"painter, designer, drawer","CA, Museo del Prado, San Pietro, Spain, Vincoli, Rome, Bologna, US, Germany, Los Angeles, Italy, Dresden, Austria, Paris, Vienna, Russia, Saint Petersburg, France, Madrid","{Italy:11},{Bologna:1},{San Pietro:2},{Vincoli:2},{Rome:6},{Dresden:1},{Germany:1},{Museo del Prado:1},{Madrid:2},{Spain:2},{Austria:2},{Paris:5},{France:5},{Saint Petersburg:1},{Russia:1},{Los Angeles:1},{CA:1},{US:1},{Vienna:1}",Bolognese School,,,,,,No,
Guido Reni,Italian,Papal States,male,"Baroque, Unknown",Baroque,"{Italian Renaissance:1},{Baroque:146},{Renaissance:1}",Bologna,Bologna,1575.0,1642.0,1580.0,1700.0,145.0,"['Bologna', 'Naples', 'Rome', 'Mantua', 'Modena', 'Ravenna', 'Genoa']","['Bologna:1611-1612,1599-1600,1603-1605,1615-1616', 'Naples:1624-1626,1640-1642', 'Rome:1600-1602,1612-1612,1605-1610,1622-1629', 'Mantua:1617-1621']","{Baroque:143},{Unknown:2}","{Italian Baroque:1}, {Baroque:138}",Baroque:1580-1642,"drawer, architectural draftsperson, etcher, painter, illustrator","London, CA, Museo del Prado, UK, Spain, Rome, Bologna, US, Netherlands, Germany, Greenville, Baltimore, San Zanipolo, Los Angeles, Italy, Genoa, MA, Austria, Paris, Detroit, MI, Bayonne, Florence, Vienna, Boston, Pasadena, Russia, Venice, Saint Petersburg, Los Angeles County Museum of Art, Potsdam, Munich, France, Madrid, MD, Lyon, Amsterdam","{Italy:16},{Paris:11},{France:13},{San Zanipolo:1},{Venice:1},{Genoa:1},{London:5},{UK:6},{Amsterdam:1},{Netherlands:1},{Rome:5},{Saint Petersburg:2},{Russia:2},{Munich:1},{Germany:2},{Vienna:6},{Austria:6},{Florence:4},{Potsdam:1},{Baltimore:1},{MD:1},{US:8},{Museo del Prado:4},{Madrid:4},{Spain:4},{Bologna:2},{Bayonne:1},{Greenville:3},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:2},{Detroit:1},{MI:1},{Boston:1},{MA:1},{Pasadena:1},{Lyon:1}",Bolognese School,,"Nicolas Poussin,",,"Annibale Carracci,",,No,
Gustave Courbet,French,France,male,"Baroque, Realism, Romanticism, Unknown",Realism,{Realism:272},Ornans,La Tour-de-Peilz,1819.0,1877.0,1830.0,1877.0,289.0,"['Ornans', 'Paris']",[],"{Baroque:1},{Realism:266},{Romanticism:13},{Unknown:9}","{Realism:257}, {Romanticism:13}","Realism:1835-1877,Romanticism:1830-1849","painter, sculptor, communard, drawer","London, Montpellier, Moscow, CA, UK, Norway, Dallas, Northampton, Canada, Canberra, Switzerland, Vevey, Besançon, Shelburne, US, Chicago, Germany, Winterthur, Amiens, Washington DC, MN, Ottawa, IL, Budapest, Minneapolis, Wuppertal, Tokyo, Troyes, Australia, Dresden, MA, Lille, Quebec City, Versailles, Paris, Strasbourg, Nancy, Honfleur, Denmark, Bayonne, Philadelphia, Stockholm, Hungary, Ornans, VT, Zürich, Nationalmuseum, Cologne, Boston, Berlin, Sweden, d'Histoire, Pasadena, Russia, Bremen, Toledo, Frankfurt, Oslo, Orleans, New Haven, Munich, France, NY, Japan, Lyon, OH, PA, Main, New York City, Hartford","{France:88},{Switzerland:7},{Lille:8},{Paris:41},{New York City:3},{NY:3},{US:22},{Ornans:4},{London:1},{UK:1},{Moscow:2},{Russia:2},{Quebec City:1},{Canada:2},{Nancy:1},{Lyon:3},{Chicago:2},{IL:2},{Bayonne:1},{Vevey:1},{Versailles:1},{Amiens:1},{Zürich:1},{Shelburne:1},{VT:1},{Besançon:5},{Pasadena:3},{CA:3},{Philadelphia:3},{PA:4},{Frankfurt:2},{Main:2},{Germany:9},{Winterthur:2},{Dallas:2},{Orleans:1},{Wuppertal:1},{Hartford:1},{Montpellier:10},{Troyes:2},{Honfleur:1},{Denmark:1},{Tokyo:1},{Japan:1},{d'Histoire:1},{Nationalmuseum:2},{Stockholm:2},{Sweden:2},{Berlin:2},{New Haven:1},{Washington DC:1},{Bremen:1},{Toledo:1},{OH:1},{Ottawa:1},{Cologne:2},{Boston:1},{MA:2},{Canberra:1},{Australia:1},{Minneapolis:1},{MN:1},{Northampton:1},{Munich:1},{Budapest:1},{Hungary:1},{Strasbourg:1},{Dresden:1},{Oslo:1},{Norway:1}",,"Rembrandt,Caravaggio,Diego Velazquez,Peter Paul Rubens,Francisco de Zurbaran,Baroque,Romanticism,Carolus-Duran,","Edouard Manet,Claude Monet,Pierre-Auguste Renoir,Paul Cezanne,James McNeill Whistler,Impressionism,Post-Impressionism,Expressionism,Alfred Sisley,Lucian Freud,Chaim Soutine,Charles-Francois Daubigny,Andres de Santa Maria,Jules Bastien-Lepage,Eugène Burnand,",,,,No,
Heinrich Schonfeld,German,Germany,male,Baroque,Baroque,{Baroque:24},Biberach an der Riss,Augsburg,1609.0,1684.0,1630.0,1680.0,39.0,"['Rome', 'Augsburg', 'Basel', 'Venice', 'Stuttgart', 'Naples', 'Munich']","['Rome:1647-1651,1633-1637', 'Augsburg:1652-1684', 'Basel:1627-1633', 'Venice:1651-1651', 'Stuttgart:1627-1633', 'Naples:1636-1648']",{Baroque:39},{Baroque:24},Baroque:1630-1680,"engraver, painter, copyist, copperplate engraver, drawer, lithographer","Germany, Dresden, Austria, Munich, Vienna","{Munich:1},{Germany:2},{Dresden:1},{Vienna:5},{Austria:5}",,,,,,,No,
